DATE,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
2001-09-22,0.02,26.19,2.29,0.43,13.98
2001-09-23,0.0,26.69,2.25,0.42,13.93
2001-09-24,0.0,26.75,2.6,0.49,15.99
2001-09-25,0.48,27.12,2.51,0.48,15.73
2001-09-26,0.18,26.73,2.12,0.41,13.06
2001-09-27,0.02,26.57,2.19,0.42,14.02
2001-09-28,1.88,26.84,2.23,0.42,14.15
2001-09-29,7.31,25.82,2.14,0.41,13.59
2001-09-30,1.14,26.37,2.09,0.4,13.13
2001-10-01,14.05,26.14,1.96,0.38,12.16
2001-10-02,16.51,25.18,1.03,0.2,6.59
2001-10-03,1.83,25.54,2.02,0.38,12.64
2001-10-04,8.19,25.92,1.96,0.38,12.07
2001-10-05,4.24,26.23,2.26,0.43,13.95
2001-10-06,0.43,26.32,1.99,0.38,12.48
2001-10-07,3.52,26.0,1.36,0.27,8.5
2001-10-08,5.2,25.26,2.38,0.45,14.36
2001-10-09,3.91,25.76,2.24,0.43,13.16
2001-10-10,5.02,25.68,2.52,0.48,15.31
2001-10-11,0.49,25.97,2.38,0.45,14.68
2001-10-12,0.01,25.44,2.35,0.45,14.23
2001-10-13,0.07,25.86,2.46,0.47,14.95
2001-10-14,0.51,24.96,2.2,0.42,13.62
2001-10-15,0.71,25.83,2.09,0.41,12.27
2001-10-16,7.7,26.11,2.17,0.41,13.5
2001-10-17,7.62,26.01,2.51,0.48,15.3
2001-10-18,3.12,25.33,1.77,0.34,10.73
2001-10-19,2.98,25.69,1.62,0.31,9.83
2001-10-20,1.61,24.76,2.17,0.42,13.57
2001-10-21,2.42,24.41,2.05,0.39,12.18
2001-10-22,4.7,25.12,2.14,0.41,12.96
2001-10-23,7.49,26.43,1.88,0.36,11.17
2001-10-24,6.43,26.06,1.55,0.3,9.95
2001-10-25,8.96,26.0,2.52,0.48,15.98
2001-10-26,8.31,25.59,2.19,0.42,13.48
2001-10-27,4.95,26.45,2.46,0.47,15.24
2001-10-28,1.47,26.93,2.21,0.42,13.34
2001-10-29,14.36,26.03,1.98,0.38,12.55
2001-10-30,8.11,26.63,1.99,0.39,12.7
2001-10-31,0.57,26.59,2.05,0.4,12.73
2001-11-01,12.44,25.28,1.84,0.36,11.42
2001-11-02,18.73,23.95,2.33,0.45,14.26
2001-11-03,14.64,25.89,2.1,0.41,13.56
2001-11-04,4.23,25.72,2.26,0.44,14.64
2001-11-05,10.32,26.68,2.15,0.41,14.31
2001-11-06,15.54,25.65,2.21,0.43,14.29
2001-11-07,8.22,25.67,2.36,0.46,15.48
2001-11-08,2.65,26.68,2.27,0.44,14.72
2001-11-09,18.74,25.68,2.13,0.41,13.41
2001-11-10,5.66,25.81,2.27,0.44,14.12
2001-11-11,2.33,25.95,2.19,0.42,13.86
2001-11-12,1.8,25.33,2.47,0.47,15.02
2001-11-13,1.33,26.25,2.48,0.48,15.68
2001-11-14,17.0,25.71,1.94,0.38,12.16
2001-11-15,18.11,23.96,1.06,0.21,6.8
2001-11-16,7.71,24.32,1.58,0.3,10.04
2001-11-17,14.22,24.5,2.16,0.41,13.3
2001-11-18,22.68,24.51,2.2,0.42,13.16
2001-11-19,11.71,24.44,1.48,0.29,8.89
2001-11-20,6.06,24.28,1.63,0.32,10.06
2001-11-21,11.91,24.09,1.49,0.3,9.48
2001-11-22,1.61,25.13,1.6,0.31,9.66
2001-11-23,1.54,24.73,1.63,0.32,10.36
2001-11-24,6.87,24.76,2.28,0.45,14.48
2001-11-25,8.93,24.87,2.13,0.41,13.1
2001-11-26,3.16,24.57,1.61,0.31,9.86
2001-11-27,7.66,24.65,1.99,0.39,11.81
2001-11-28,2.67,25.43,2.34,0.45,14.3
2001-11-29,0.42,24.25,1.87,0.37,11.39
2001-11-30,2.64,24.35,2.17,0.42,13.64
2001-12-01,1.16,24.37,1.93,0.38,12.09
2001-12-02,0.15,24.67,2.16,0.42,13.81
2001-12-03,0.23,25.02,2.62,0.51,17.0
2001-12-04,0.87,25.18,2.2,0.43,13.79
2001-12-05,0.3,25.22,2.2,0.43,14.34
2001-12-06,0.03,24.93,2.2,0.43,14.32
2001-12-07,1.08,24.87,2.26,0.44,14.2
2001-12-08,0.18,24.83,2.66,0.52,16.9
2001-12-09,0.11,24.53,2.42,0.48,16.06
2001-12-10,0.08,24.65,2.28,0.45,15.3
2001-12-11,1.58,24.43,2.16,0.42,14.32
2001-12-12,4.18,25.01,1.83,0.36,11.78
2001-12-13,0.69,24.81,1.93,0.38,12.52
2001-12-14,12.75,24.77,1.48,0.29,9.45
2001-12-15,1.96,24.75,2.42,0.46,14.75
2001-12-16,0.1,24.8,2.41,0.46,14.41
2001-12-17,0.15,25.4,2.09,0.41,13.12
2001-12-18,0.09,25.25,2.85,0.55,18.05
2001-12-19,0.73,25.96,2.62,0.51,16.87
2001-12-20,3.5,25.23,2.08,0.41,13.58
2001-12-21,0.99,24.9,1.98,0.39,12.83
2001-12-22,0.0,23.97,2.86,0.55,18.66
2001-12-23,0.0,24.71,2.66,0.52,17.31
