YEAR,MO,DY,PRECTOTCORR,TS,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA
1983,7,21,26.34,24.45,-999,-999,-999
1983,7,22,6.29,23.9,-999,-999,-999
1983,7,23,0.26,24.87,-999,-999,-999
1983,7,24,0.01,25.04,-999,-999,-999
1983,7,25,0,25.3,-999,-999,-999
1983,7,26,0,24.76,-999,-999,-999
1983,7,27,0,24.53,-999,-999,-999
1983,7,28,0,24.7,-999,-999,-999
1983,7,29,0,23.79,-999,-999,-999
1983,7,30,0,23.34,-999,-999,-999
1983,7,31,0,23.55,-999,-999,-999
1983,8,1,0.47,24.39,-999,-999,-999
1983,8,2,0.16,24.74,-999,-999,-999
